"","date","province","country","lat","long","type","cases"
"223","2020-08-31","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"224","2020-09-01","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"225","2020-09-02","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"226","2020-09-03","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"227","2020-09-04","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"228","2020-09-05","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"229","2020-09-06","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"230","2020-09-07","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"231","2020-09-08","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"232","2020-09-09","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"233","2020-09-10","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"234","2020-09-11","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"235","2020-09-12","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"236","2020-09-13","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"237","2020-09-14","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"238","2020-09-15","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"239","2020-09-16","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"240","2020-09-17","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"241","2020-09-18","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"242","2020-09-19","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"243","2020-09-20","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"244","2020-09-21","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"245","2020-09-22","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"246","2020-09-23","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"247","2020-09-24","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"248","2020-09-25","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"249","2020-09-26","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"250","2020-09-27","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"251","2020-09-28","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"252","2020-09-29","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
"253","2020-09-30","Australian Capital Territory","Australia",-35.4735,149.0124,"confirmed",0
